image,label
EuroSAT_RGB/AnnualCrop/AnnualCrop_1594.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1403.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1656.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1437.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1213.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1423.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1798.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1581.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1851.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1225.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1307.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1672.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1012.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1568.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1481.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1493.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1108.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1469.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_145.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1827.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1509.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1734.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1905.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1633.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1379.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1882.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_142.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1760.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1762.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1823.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1475.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1753.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1288.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1666.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1373.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1727.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1904.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1181.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1722.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_1569.jpg,AnnualCrop
EuroSAT_RGB/AnnualCrop/AnnualCrop_105.jpg,AnnualCrop
